Title,Price,Tags
Stronghold: Warlords,Rp 269 999,"City Builder, Real Time Tactics, Colony Sim, Base Building"
Forza Horizon 4,Rp 249 999,"Racing, Open World, Multiplayer, Driving"
Let It Flow,Free To Play,"Action, Racing, Action-Adventure, Battle Royale"
Mitoza,Free To Play,"Adventure, Point & Click, Choose Your Own Adventure, Exploration"
Loop Hero,Rp 84 999,"RPG, Strategy, Card Game, Roguelike"
Everhood,Rp 89 999,"Great Soundtrack, Music, Story Rich, 2D"
The Life and Suffering of Sir Brante,Rp 98 099,"RPG, Choices Matter, Indie, Adventure"
Persona® 5 Strikers,Rp 769 000,"Anime, Adventure, JRPG, Great Soundtrack"
Teamfight Manager,Rp 69 999,"Simulation, Management, Pixel Graphics, Sports"
Breathedge,Rp 119 999,"Open World Survival Craft, Space, Indie, Singleplayer"
Yakuza: Like a Dragon,Rp 799 000,"RPG, Adventure, Action, JRPG"
Old School RuneScape,Free to Play,"Free to Play, MMORPG, Nostalgia, Adventure"
Curse of the Dead Gods,Rp 169 000,"Dark Fantasy, Action Roguelike, Action, Isometric"
Nebuchadnezzar,Rp 108 999,"City Builder, Sandbox, Building, Economy"
Contraband Police: Prologue,Free,"Action, Simulation, Automobile Sim, Exploration"
The Room 4: Old Sins,Rp 64 999,"Puzzle, Adventure, Mystery, Lovecraftian"
Little Nightmares II,Rp 239 000,"Horror, Adventure, Dark, Singleplayer"
Little Nightmares II,Rp 239 000,"Horror, Adventure, Dark, Singleplayer"
Nioh 2 – The Complete Edition,Rp 699 000,"RPG, Action, Souls-like, JRPG"
War on the Sea,Rp 169 999,"Strategy, Simulation, World War II, Naval"
The Medium,Rp 490 000,"Adventure, Horror, Female Protagonist, Atmospheric"
DEVOUR,Rp 39 999,"Horror, Online Co-Op, Survival Horror, Multiplayer"
SuchArt: Creative Space,Free To Play,"Simulation, Singleplayer, Realistic, Funny"
Skul: The Hero Slayer,Rp 108 999,"Indie, Action, Action Roguelike, Pixel Graphics"
hexceed,Free To Play,"Free to Play, Casual, Puzzle, Relaxing"
NERTS! Online,Free To Play,"Solitaire, Multiplayer, Casual, PvP"
Desktop+,Free,"Utilities, VR, Free to Play, Software"
OMORI,Rp 108 999,"Psychological Horror, Story Rich, Indie, Pixel Graphics"
VRoid Studio v0.13.1,Free To Play,"Free to Play, Animation & Modeling, Design & Illustration, Anime"
Founders' Fortune,Rp 87 199,"Colony Sim, Base Building, Simulation, City Builder"
Valheim,Rp 108 999,"Open World Survival Craft, Online Co-Op, Survival, Open World"
Forza Horizon 4,Rp 249 999,"Racing, Open World, Multiplayer, Driving"
Stronghold: Warlords,Rp 269 999,"City Builder, Real Time Tactics, Colony Sim, Base Building"
Loop Hero,Rp 84 999,"RPG, Strategy, Card Game, Roguelike"
Middle-earth: Shadow of War Definitive Edition,Rp 86 400,"Action, Adventure, Violent, Gore"
Counter-Strike: Global Offensive - Operation Broken Fang,Rp 212 999,"Action, Free to Play, FPS, Multiplayer"
OUTRIDERS,Rp 825 000,"Action, RPG, Adventure, Gore"
Grand Theft Auto V: Premium Edition,Rp 300 750,"Action, Open World, Multiplayer, Third Person"
Phasmophobia,Rp 89 999,"Horror, Online Co-Op, Multiplayer, Psychological Horror"
